administration,data_year,state_abbr,victims
Obama 1st Term,2012,IA,8
Obama 1st Term,2012,ID,35
Obama 1st Term,2012,IL,85
Obama 1st Term,2012,IN,37
Obama 1st Term,2012,KS,84
Obama 1st Term,2012,KY,204
Obama 1st Term,2012,LA,4
Obama 1st Term,2012,MA,290
Obama 1st Term,2012,MD,35
Obama 1st Term,2012,ME,52
Obama 1st Term,2012,MI,634
Obama 1st Term,2012,MN,72
Obama 1st Term,2012,MO,104
Obama 1st Term,2012,MS,18
Obama 1st Term,2012,MT,36
Obama 1st Term,2012,NB,9
Obama 1st Term,2012,NC,119
Obama 1st Term,2012,ND,42
Obama 1st Term,2012,NH,30
Obama 1st Term,2012,NJ,505
Obama 1st Term,2012,NM,2
Obama 1st Term,2012,NV,91
Obama 1st Term,2012,NY,720
Obama 1st Term,2012,OH,264
Obama 1st Term,2012,OK,21
Obama 1st Term,2012,OR,52
Obama 1st Term,2012,PA,38
Obama 1st Term,2012,RI,12
Obama 1st Term,2012,SC,104
Obama 1st Term,2012,SD,30
Obama 1st Term,2012,TN,321
Obama 1st Term,2012,TX,175
Obama 1st Term,2012,UT,102
Obama 1st Term,2012,VA,138
Obama 1st Term,2012,VT,14
Obama 1st Term,2012,WA,274
Obama 1st Term,2012,WI,70
Obama 1st Term,2012,WV,27
Obama 1st Term,2012,WY,2
Obama 2nd Term,2013,AK,8
Obama 2nd Term,2013,AL,6
Obama 2nd Term,2013,AR,27
Obama 2nd Term,2013,AZ,201
Obama 2nd Term,2013,CA,842
Obama 2nd Term,2013,CO,129
Obama 2nd Term,2013,CT,144
Obama 2nd Term,2013,DC,72
Obama 2nd Term,2013,DE,13
Obama 2nd Term,2013,FL,119
Obama 2nd Term,2013,GA,57
Obama 2nd Term,2013,IA,10
Obama 2nd Term,2013,ID,32
Obama 2nd Term,2013,IL,107
Obama 2nd Term,2013,IN,75
Obama 2nd Term,2013,KS,68
Obama 2nd Term,2013,KY,172
Obama 2nd Term,2013,LA,24
Obama 2nd Term,2013,MA,351
Obama 2nd Term,2013,MD,51
Obama 2nd Term,2013,ME,25
Obama 2nd Term,2013,MI,333
Obama 2nd Term,2013,MN,144
Obama 2nd Term,2013,MO,105
Obama 2nd Term,2013,MS,4
Obama 2nd Term,2013,MT,36
Obama 2nd Term,2013,NB,33
Obama 2nd Term,2013,NC,118
Obama 2nd Term,2013,ND,51
Obama 2nd Term,2013,NH,23
Obama 2nd Term,2013,NJ,414
Obama 2nd Term,2013,NM,12
Obama 2nd Term,2013,NV,73
Obama 2nd Term,2013,NY,615
Obama 2nd Term,2013,OH,341
Obama 2nd Term,2013,OK,43
Obama 2nd Term,2013,OR,68
Obama 2nd Term,2013,PA,56
Obama 2nd Term,2013,RI,7
Obama 2nd Term,2013,SC,52
Obama 2nd Term,2013,SD,21
Obama 2nd Term,2013,TN,205
Obama 2nd Term,2013,TX,142
Obama 2nd Term,2013,UT,76
Obama 2nd Term,2013,VA,123
Obama 2nd Term,2013,VT,13
Obama 2nd Term,2013,WA,294
Obama 2nd Term,2013,WI,50
Obama 2nd Term,2013,WV,58
Obama 2nd Term,2013,WY,1
Obama 2nd Term,2014,AK,6
Obama 2nd Term,2014,AL,9
Obama 2nd Term,2014,AR,11
Obama 2nd Term,2014,AZ,265
Obama 2nd Term,2014,CA,759
Obama 2nd Term,2014,CO,94
Obama 2nd Term,2014,CT,125
Obama 2nd Term,2014,DC,70
Obama 2nd Term,2014,DE,13
Obama 2nd Term,2014,FL,65
Obama 2nd Term,2014,GA,41
Obama 2nd Term,2014,IA,11
Obama 2nd Term,2014,ID,26
Obama 2nd Term,2014,IL,109
Obama 2nd Term,2014,IN,51
Obama 2nd Term,2014,KS,75
Obama 2nd Term,2014,KY,165
Obama 2nd Term,2014,LA,9
Obama 2nd Term,2014,MA,376
Obama 2nd Term,2014,MD,16
Obama 2nd Term,2014,ME,28
Obama 2nd Term,2014,MI,320
Obama 2nd Term,2014,MN,98
Obama 2nd Term,2014,MO,76
Obama 2nd Term,2014,MS,2
Obama 2nd Term,2014,MT,35
Obama 2nd Term,2014,NB,47
Obama 2nd Term,2014,NC,140
Obama 2nd Term,2014,ND,41
Obama 2nd Term,2014,NH,15
Obama 2nd Term,2014,NJ,336
Obama 2nd Term,2014,NM,13
Obama 2nd Term,2014,NV,24
Obama 2nd Term,2014,NY,545
Obama 2nd Term,2014,OH,421
Obama 2nd Term,2014,OK,31
Obama 2nd Term,2014,OR,66
Obama 2nd Term,2014,PA,54
Obama 2nd Term,2014,RI,5
Obama 2nd Term,2014,SC,53
Obama 2nd Term,2014,SD,18
Obama 2nd Term,2014,TN,198
Obama 2nd Term,2014,TX,158
Obama 2nd Term,2014,UT,55
Obama 2nd Term,2014,VA,123
Obama 2nd Term,2014,VT,15
Obama 2nd Term,2014,WA,304
Obama 2nd Term,2014,WI,53
Obama 2nd Term,2014,WV,29
Obama 2nd Term,2015,AK,8
Obama 2nd Term,2015,AL,10
